2017_E,2017_S,2017_G,2018_E,2018_S,2018_G,Diff_E,Diff_S,Diff_G
B,B이하,B이하,B,B+,B이하,,,
B,B이하,B이하,B+,A,B이하,,,
B,B이하,B이하,B,B+,B+,,,
B,B이하,B이하,B,B이하,B이하,,,
D,B이하,B이하,C,B+,B이하,,,
C,B+,B이하,B,A,B+,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B+,B+,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B+,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B+,B이하,,,
B+,A,A,A,A,A,,,
B+,B이하,B+,B+,B+,B+,,,
B+,B이하,B+,B,B+,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B+,B+,B이하,,,
B,B+,B+,B+,B+,B+,,,
C,B이하,B이하,B,B+,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B+,B이하,B이하,B+ 이하,B+,B이하,,,
B,B이하,B+,B+,B+,B+,,,
B+,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B+,D,,,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B+,B+,B+,A,B+,,,
B,B+,A,B,A,A,,,
B,B+,B이하,D,B이하,B+,,,
B,B이하,B이하,B,B+,B이하,,,
C,B이하,B+,C,B이하,B+,,,
B+,B이하,B이하,B+,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
A,A+,A,A,A,A,,,
B,B이하,B+,C,B+,B+,,,
B+,A,B이하,B+ 이하,B+,B+,,,
A,B이하,B이하,B+ 이하,B+,B이하,,,
C,B이하,B+,B+,A,B이하,,,
A,B+,B이하,B+ 이하,B이하,B이하,,,
B+,A,A,B+,A+,A,,,
B,B이하,B이하,B,B+,B이하,,,
B+,B이하,B+,B,B이하,B+,,,
D,B+,B+,B+,A,A,,,
B+,B이하,B+,B+,B이하,B이하,,,
B+,B+,B+,B+,A,B+,,,
B+,B+,B+,B+,B+,B+,,,
B+,B+,B이하,B+,B+,B이하,,,
C,A,A,B,A,A,,,
B+,B이하,A,B+,B+,B+,,,
B+,B+,B이하,B+,B+,B이하,,,
C,B+,B+,C,B+,B+,,,
B+,B+,B이하,B,B+,B+,,,
B+,B+,B이하,B,B+,B이하,,,
B+,B+,B이하,B+,B+,B이하,,,
B+,A,A,B+,A,A,,,
B,B이하,B+,B+,B이하,B+,,,
B,B+,B+,B,B+,A,,,
B,B이하,B+,C,A,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
B+,B이하,A,B+,B+,A,,,
B,B이하,B이하,B,B이하,B이하,,,
A,A,B+,A,A+,A,,,
A,B이하,B이하,A,B+,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B+,B+,B이하,A,A,B+,,,
B+,B이하,B이하,B+,B이하,B이하,,,
B+,B+,B+,B,B+,B+,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B+,D,B이하,B+,,,
D,B이하,B이하,C,B이하,B이하,,,
B,B이하,B+,B,B이하,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B+,B이하,B이하,B+,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
D,A,B+,C,B+,B+,,,
B+,B이하,B이하,B,B+,B이하,,,
C,B이하,B+,B,B이하,B+,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,A,B+,B+,B+,B+,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B+,B+,B,B이하,B+,,,
A,B이하,B이하,B+ 이하,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
